"Emp_ID","First_Name","Last_Name","E_mail_Address","Department","Job_Title","Address","City","State","Zip_Code","Status"
1,"Jalen","Delgado","Delgado1@tintoyblanco.com","Executive","CEO","8291 4th Street ","New York","NY",10024,"Active"
2,"Cassius","Kline","Kline@tintoyblanco.com","Executive","CFO","484 Court Street ","Brooklyn","NY",11223,"Active"
3,"Kristopher","Ali","Ali@tintoyblanco.com","Executive","CIO","13 Sycamore Ave. ","Bronx","NY",10468,"Active"
4,"Cortez","Parks","Parks1@tintoyblanco.com","Finance","Credit Manager","206 Pin Oak Street ","Bronx","NY",10472,"Active"
5,"Arnav","Parks","Parks2@tintoyblanco.com","Finance","Controller","434 Pennsylvania Street ","Bronx","NY",10457,"Active"
6,"Izayah","Stephens","Stephens@tintoyblanco.com","Finance","Accountant","7 E. Windsor Ave. ","Bronx","NY",10466,"Active"
7,"Rocco","Deleon","Deleon@tintoyblanco.com","Finance","Accountant","568 Jackson Street ","Bronx","NY",10460,"Active"
8,"Moshe","Wells","Wells@tintoyblanco.com","Purchasing","Purchasing staff","8385 Marlborough St. ","Brooklyn","NY",11229,"Active"
9,"Raiden","Faulkner","Faulkner@tintoyblanco.com","Purchasing","Purchasing staff","3 Ocean Street ","Bronx","NY",10467,"Terminated"
10,"Johnathon","Mclaughlin","Mclaughlin@tintoyblanco.com","Purchasing","Purchasing Manager","60 Princess St. ","Astoria","NY",11103,"Active"
11,"William","Weaver","Weaver@tintoyblanco.com","Sales","Vice President, Sales","74 W. Pineknoll Dr. ","Bronx","NY",10461,"Active"
12,"Mekhi","Delgado","Delgado2@tintoyblanco.com","Sales","Sales Representative","19 Longfellow St. ","Bronx","NY",10458,"Active"
13,"Darrell","Steele","Steele@tintoyblanco.com","Sales","Sales Representative","3 West Morris St. ","Bronx","NY",10469,"Active"
14,"Kirsten","Green","Green@tintoyblanco.com","Sales","Sales Manager","9 Gulf Street ","Brooklyn","NY",11238,"Active"
15,"Kenley","Bowman","Bowman@tintoyblanco.com","Sales","Sales Representative","553 Division Dr. ","Brooklyn","NY",11236,"Active"
16,"Hailie","Kent","Kent@tintoyblanco.com","Sales","Sales Representative","9202 Boston St. ","Brooklyn","NY",11237,"Active"
17,"Marisa","Osborne","Osborne@tintoyblanco.com","Sales","Sales Representative","553 Wild Rose Street ","Brooklyn","NY",11207,"Active"
18,"Leila","Brennan","Brennan@tintoyblanco.com","Sales","Sales Representative","77 Smith Store Dr. ","Bronx","NY",10452,"Active"
19,"Catherine","Zamora","Zamora@tintoyblanco.com","Sales","Sales Representative","267 South Jones Drive ","Brooklyn","NY",11224,"Active"
20,"Aniyah","Ewing","Ewing@tintoyblanco.com","Sales","Sales Representative","9761 Bridge Rd. ","Brooklyn","NY",11230,"Active"
21,"Landen","Lucas","Lucas@tintoyblanco.com","Sales","Sales Asst. Manager","20 North Union Dr. ","New York","NY",10027,"Active"
22,"Reuben","Mcgrath","Mcgrath@tintoyblanco.com","Warehouse","Warehouse Staff","54 Wagon Street ","Bronx","NY",10451,"Active"
23,"Jarrett","Flores","Flores@tintoyblanco.com","Warehouse","Warehouse Staff","759 Canterbury Ave. ","Brooklyn","NY",11221,"Terminated"
24,"Timothy","Chandler","Chandler@tintoyblanco.com","Warehouse","Warehouse Staff","7810 Warren St. ","Brooklyn","NY",11234,"Active"
25,"Waylon","Noble","Noble@tintoyblanco.com","Warehouse","Warehouse Manager","7024 Prairie Street ","Brooklyn","NY",11213,"Active"
