Cust_Num,Comp_Name,First_Name,Last_Name,Phone_Num,Street_Address,City,State,Zip,Category
AK-1001,"Stephens, Porter, and Weiss Stores",Carlo,Trevino,(397) 555-9285,47 White St. ,Anchorage,AK,99504,Reseller
AK-1002,Green-Rodriguez Beverages,Kelly,Neal,(661) 555-3983,699 Ashley Ave. ,Wasilla,AK,99654,Reseller
AK-1003,Freeman  Group,Dalia,Archer,(994) 555-2249,222 Vine Street ,Anchorage,AK,99504,Reseller
AK-1004,Melodic Hook Cafe,Eva,Kerr,(381) 555-0582,7349 Bellevue Lane ,Wasilla,AK,99654,Retailer
AL-1001,MorganCo,Jada,Burgess,(296) 555-1940,85 Pendergast Ave. ,Dothan,AL,36301,Reseller
AL-1002,Barry  LLC,Nathanial,Figueroa,(900) 555-0025,2 Rockwell Rd. ,Alabaster,AL,35007,Reseller
AL-1003,"May, Strong, and Harvey Liquors",Brittany,Chavez,(560) 555-6375,53 Liberty Ave. ,Enterprise,AL,36330,Reseller
AL-1004,Hinton  ,Margaret,Coffey,(551) 555-6321,6 53rd Dr. ,Huntsville,AL,35803,Reseller
AL-1005,"Johnston, Page, and Stevens Group",Uriah,Weber,(494) 555-9813,46 Sheffield St. ,Madison,AL,35758,Reseller
AL-1006,Banks  ,Donte,Hernandez,(443) 555-7708,9384 West Ave. ,Birmingham,AL,35209,Reseller
AL-1007,"Cook, Brown, and Santiago Liquors",Cecelia,Doyle,(615) 555-4935,8 Vernon Rd. ,Trussville,AL,35173,Reseller
AL-1008,Holden  Beverages,Paula,Klein,(256) 555-6276,278 Boston Court ,Fairhope,AL,36532,Reseller
AL-1009,Williams-Stafford Restaurants,Alyson,Whitehead,(366) 555-9197,635 W. Jackson St. ,Prattville,AL,36067,Reseller
AL-1010,Rice-Hubbard ,Jaslyn,Camacho,(591) 555-0549,897 Tallwood St. ,Montgomery,AL,36109,Reseller
AL-1011,Sampson-Jackson Inc.,Eugene,Hudson,(727) 555-0459,749 Center Drive ,Mobile,AL,36605,Reseller
AL-1012,"Griffith, Landry, and Smith Restaurants",Marc,Huang,(446) 555-6390,875 Indian Spring Dr. ,Fairhope,AL,36532,Reseller
AL-1013,Common Society,Marisa,Gregory,(753) 555-7449,7142 Meadow Lane ,Mobile,AL,36605,Retailer
AL-1014,Fox  Beverages,Anastasia,Wilkins,(211) 555-2453,9759 Johnson Lane ,Birmingham,AL,35209,Reseller
AL-1015,"Delacruz, Simpson, and Mckay ",Julian,Roberson,(726) 555-0440,66 Grove Ave. ,Huntsville,AL,35803,Reseller
AL-1016,Daugherty-Becker Liquors,Joseph,Pearson,(854) 555-2075,7 Catherine Ave. ,Madison,AL,35758,Reseller
AL-1017,Allen-Smith Beverages,Anna,Shea,(373) 555-5064,430 W. Ohio Lane ,Alabaster,AL,35007,Reseller
AL-1018,"Kelley, Fox, and Robinson Inc.",Oscar,Pope,(399) 555-6045,91 Beech Dr. ,Daphne,AL,36526,Reseller
AL-1019,"Thompson, Silva, and Case Inc.",Humberto,Rosales,(679) 555-9072,579 Sherwood St. ,Prattville,AL,36067,Reseller
